what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1710404741265
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1710404741265
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1710404741265
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1710404741265
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1710404741265
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1710404741265
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1710404741265
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1710404741265
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1710404741265
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1710404741265
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1710404741265
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1710404741265
os,sysinfo,,,"win32",1710404741275
arch,sysinfo,,,"x86",1710404741275
ws,sysinfo,,,"win32",1710404741275
locale,sysinfo,,,"en_US",1710404741275
processors,sysinfo,,,"8",1710404741275
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1710404741275
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1710404741275
java.specification.name,sysinfo,,,"Java Platform API Specification",1710404741275
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1710404741275
java.specification.version,sysinfo,,,"1.6",1710404741275
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1710404741275
java.version,sysinfo,,,"1.6.0_23",1710404741275
java.vm.info,sysinfo,,,"mixed mode",1710404741275
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1710404741275
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1710404741275
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1710404741275
java.vm.specification.version,sysinfo,,,"1.0",1710404741275
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1710404741275
java.vm.version,sysinfo,,,"19.0-b09",1710404741275
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1710404741415
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1710404741495
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1710404756206
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1710404756226
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1710404756576
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1710404756586
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1710404756586
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1710404756586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404756897
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1710404773257
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1710404773297
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1710404774310
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1710404775000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404780235
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1710404782172
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1710404782182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404784112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404786353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404786704
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1710404787494
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1710404787504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404787704
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1710404787734
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1710404787904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404788024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404790947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1710404791227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1710404791797
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1710404807243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1710404808994
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1710404813926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404814256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404829848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1710404840866
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1710404841207
