what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002255542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002258349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002268480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002269908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002270711
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002270722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002271090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002272303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002272348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002274397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002281017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002284735
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002285551
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002285910
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002285912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002288902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002290827
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002291148
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002293283
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002293737
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002298030
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002328544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002332754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002335071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002335892
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002335903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002336283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002337191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002337515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002339556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002346296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002349995
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002351654
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002352015
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002352018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002354016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002355841
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002356145
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002358050
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002358519
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002362717
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002381821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002384196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002390866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711002391526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002392454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002395211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002396028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1711002419190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711002422573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1711002426395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711002429499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002430363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002432527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002433580
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002433592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002433974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002434890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002435226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002437235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002443856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002446093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002448592
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002448902
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002448904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002451201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002452914
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002453199
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002455151
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002455667
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002459859
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002482492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002495565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002498740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002501323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002502179
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002502189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002502561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002503473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002503805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002505855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002512403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002516100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002520016
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002520322
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002520326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002523532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002525348
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002525670
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002527785
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002528291
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002532436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002552432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1711002563192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711002564372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002572086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002575596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002576390
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002576402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002576783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002577647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002577971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002580005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002586682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002590411
