what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1714034031443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034032294
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034033585
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034034145
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034034145
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034036476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034039007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034047630
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034050020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034051841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034059913
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034060283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034062744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034074965
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1714034080738
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1714034085439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034085759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034085890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034085920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034087679
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034087705
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034089365
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034089485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1714034092126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1714034092366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1714034092526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034092986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1714034098137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034100998
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034102138
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034103089
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034103089
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034104379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034107420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034109740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034112771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034115662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034115972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034118284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034142883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034159243
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034161354
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034161464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034165635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034166956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034169126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034171437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034173627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034176698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034176998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034181349
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034182039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034185671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034186802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034190021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034192281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034195767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034199378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034199748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034203109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034206201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034208132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034214377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034225121
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034225141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034228932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034230873
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034231203
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034233823
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1714034234214
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1714034234224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034248649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034250690
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034251020
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034253258
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034253716
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop] return code: 16",1714034255046
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, /cygdrive/c/SoC/dma/vd1/software/word/word.elf] return code: 16",1714034257242
error,log,,,"Downloading ELF Process failed",1714034257242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034257272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034259773
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034260562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034262442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034264273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034271615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034273246
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034274826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034276947
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034281008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034288351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034289271
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1714034289281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034290942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034293012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034302325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034306017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034311639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034313639
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034313959
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034316220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034316670
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034320950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034328563
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034340389
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1714034346930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034347271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034350731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034355363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034357483
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034357853
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034360304
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034360804
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop] return code: 16",1714034362104
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, /cygdrive/c/SoC/dma/vd1/software/word/word.elf] return code: 16",1714034364255
error,log,,,"Downloading ELF Process failed",1714034364255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034364275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034365705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034369104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034370735
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1714034370745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034371165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034372025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034372635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034374386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034383849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034387500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034388950
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034389240
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034389350
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034397734
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034404326
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034404446
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034420553
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034420553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714034427069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034429835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034432036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034434347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034438410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034441230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034441630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034445561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034449184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034451154
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1714034451464
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1714034453695
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1714034454145
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop] return code: 16",1714034455505
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, /cygdrive/c/SoC/dma/vd1/software/word/word.elf] return code: 16",1714034457656
error,log,,,"Downloading ELF Process failed",1714034457656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034457686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034461317
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714034462897
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714034469252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034489682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034501546
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1714034501556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714034504417
