what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1714064450561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1714064452273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064465726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064475931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064479252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064587314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064590489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064614032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064615274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064623923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714064625230
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064629487
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064629606
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1714064630512
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064633673
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064633674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714064635134
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064648605
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064648726
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064652787
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1714064652787
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1714064653836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714064663790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1714065036430
